F1,F2,F3,F4,F5,X,Y,Z,Gesture
794.0,889.0,953.0,909.0,878.0,2.32,9.58,-0.6, Dale_New
794.0,889.0,954.0,909.0,878.0,1.32,9.62,-0.59, Dale_New
794.0,889.0,953.0,909.0,878.0,2.32,9.58,-0.6, Dale_New
794.0,889.0,953.0,908.0,878.0,0.62,9.26,-0.56, Dale_New
794.0,889.0,953.0,909.0,878.0,1.19,9.67,-0.56, Dale_New
794.0,889.0,953.0,909.0,878.0,1.48,9.63,-0.75, Dale_New
794.0,889.0,954.0,909.0,878.0,1.29,9.6,-0.51, Dale_New
794.0,889.0,953.0,909.0,878.0,1.08,9.63,-0.76, Dale_New
794.0,889.0,953.0,909.0,878.0,1.33,9.62,-0.86, Dale_New
794.0,890.0,953.0,908.0,878.0,1.58,9.65,-0.52, Dale_New
796.0,890.0,954.0,909.0,878.0,1.42,9.66,-0.69, Dale_New
799.0,890.0,953.0,908.0,879.0,1.52,9.64,-0.32, Dale_New
798.0,890.0,953.0,909.0,878.0,1.55,9.59,-0.39, Dale_New
796.0,889.0,953.0,909.0,878.0,1.46,9.66,-0.36, Dale_New
795.0,889.0,953.0,909.0,878.0,1.57,9.57,-0.44, Dale_New
796.0,889.0,953.0,909.0,878.0,1.99,9.65,-0.18, Dale_New
795.0,889.0,953.0,909.0,878.0,0.64,9.79,0.35, Dale_New
795.0,889.0,953.0,908.0,878.0,0.08,9.8,0.11, Dale_New
795.0,889.0,954.0,909.0,878.0,0.57,9.84,0.28, Dale_New
795.0,889.0,953.0,909.0,878.0,1.11,9.78,0.18, Dale_New
795.0,887.0,952.0,907.0,878.0,2.14,9.25,0.44, Dale_New
795.0,887.0,952.0,907.0,878.0,1.57,9.73,0.73, Dale_New
796.0,887.0,952.0,907.0,878.0,1.41,9.7,0.91, Dale_New
795.0,886.0,952.0,908.0,878.0,1.54,9.72,0.53, Dale_New
795.0,887.0,952.0,907.0,878.0,1.5,9.75,0.62, Dale_New
795.0,887.0,952.0,908.0,878.0,1.64,9.7,0.46, Dale_New
795.0,887.0,953.0,908.0,878.0,1.61,9.69,0.39, Dale_New
796.0,887.0,952.0,908.0,878.0,1.48,9.73,0.81, Dale_New
796.0,887.0,952.0,907.0,878.0,1.1,9.75,0.62, Dale_New
796.0,887.0,952.0,907.0,878.0,2.08,9.61,0.4, Dale_New
796.0,887.0,952.0,907.0,878.0,2.5,9.56,0.62, Dale_New
796.0,887.0,952.0,908.0,878.0,1.93,9.66,0.95, Dale_New
796.0,887.0,953.0,907.0,878.0,2.03,9.63,0.3, Dale_New
796.0,887.0,952.0,907.0,878.0,1.66,9.67,0.17, Dale_New
796.0,887.0,952.0,907.0,878.0,2.02,9.65,1.13, Dale_New
796.0,887.0,952.0,907.0,880.0,2.08,9.75,1.13, Dale_New
796.0,887.0,952.0,907.0,879.0,1.99,9.67,1.06, Dale_New
796.0,887.0,952.0,907.0,879.0,1.56,9.66,1.62, Dale_New
796.0,887.0,952.0,907.0,879.0,1.93,9.65,1.1, Dale_New
796.0,887.0,952.0,907.0,879.0,2.28,9.62,1.24, Dale_New
794.0,885.0,949.0,905.0,877.0,4.03,8.38,-2.66, Dale_New
795.0,885.0,949.0,905.0,877.0,3.92,8.39,-2.68, Dale_New
794.0,885.0,949.0,905.0,877.0,4.03,8.38,-2.66, Dale_New
797.0,892.0,953.0,908.0,878.0,2.21,9.19,1.14, Dale_New
796.0,891.0,953.0,908.0,877.0,1.89,9.62,1.39, Dale_New
796.0,891.0,952.0,907.0,878.0,1.56,9.7,1.4, Dale_New
796.0,890.0,953.0,907.0,877.0,1.81,9.68,1.55, Dale_New
796.0,890.0,953.0,907.0,877.0,1.71,9.67,1.46, Dale_New
796.0,890.0,952.0,907.0,877.0,1.72,9.69,1.63, Dale_New
796.0,890.0,952.0,907.0,877.0,1.67,9.66,1.84, Dale_New
795.0,890.0,952.0,907.0,877.0,1.32,9.71,1.8, Dale_New
795.0,890.0,953.0,907.0,877.0,1.61,9.68,1.64, Dale_New
796.0,889.0,952.0,907.0,877.0,1.53,9.68,1.7, Dale_New
795.0,889.0,952.0,907.0,877.0,1.49,9.7,1.71, Dale_New
795.0,889.0,952.0,907.0,877.0,1.52,9.73,1.64, Dale_New
796.0,889.0,953.0,908.0,878.0,1.5,9.78,1.7, Dale_New
795.0,889.0,952.0,907.0,877.0,1.61,9.7,1.95, Dale_New
795.0,889.0,952.0,907.0,877.0,1.92,9.61,1.34, Dale_New
795.0,889.0,952.0,907.0,877.0,1.08,9.7,2.07, Dale_New
795.0,889.0,952.0,907.0,877.0,1.23,9.71,2.09, Dale_New
794.0,889.0,952.0,910.0,877.0,2.82,9.1,1.19, Dale_New
795.0,888.0,952.0,910.0,878.0,2.91,9.5,1.2, Dale_New
794.0,887.0,952.0,909.0,879.0,2.81,9.42,1.45, Dale_New
794.0,887.0,952.0,908.0,879.0,2.86,9.39,1.58, Dale_New
793.0,887.0,952.0,908.0,878.0,2.81,9.35,1.73, Dale_New
793.0,887.0,951.0,908.0,878.0,2.59,9.5,1.91, Dale_New
793.0,887.0,951.0,908.0,877.0,2.67,9.52,1.73, Dale_New
792.0,887.0,951.0,909.0,877.0,2.64,9.5,1.86, Dale_New
793.0,887.0,952.0,908.0,877.0,2.64,9.49,1.49, Dale_New
792.0,887.0,951.0,908.0,877.0,2.75,9.46,1.36, Dale_New
792.0,886.0,951.0,908.0,877.0,2.86,9.42,1.99, Dale_New
792.0,886.0,951.0,908.0,877.0,2.58,9.46,2.47, Dale_New
793.0,886.0,951.0,908.0,877.0,2.4,9.42,2.22, Dale_New
792.0,886.0,951.0,908.0,878.0,2.52,9.45,2.46, Dale_New
792.0,886.0,952.0,908.0,877.0,2.87,9.41,2.84, Dale_New
792.0,886.0,952.0,908.0,877.0,2.55,9.44,2.42, Dale_New
792.0,887.0,951.0,908.0,877.0,2.43,9.42,2.43, Dale_New
792.0,887.0,951.0,908.0,877.0,2.66,9.39,2.37, Dale_New
792.0,886.0,951.0,908.0,877.0,2.56,9.42,2.51, Dale_New
792.0,886.0,951.0,908.0,877.0,2.53,9.48,2.55, Dale_New
791.0,886.0,952.0,908.0,877.0,2.17,9.19,1.71, Dale_New
792.0,886.0,952.0,908.0,877.0,2.31,9.53,1.57, Dale_New
791.0,886.0,951.0,908.0,877.0,2.27,9.57,1.62, Dale_New
791.0,886.0,951.0,908.0,877.0,2.44,9.55,1.94, Dale_New
791.0,886.0,952.0,908.0,877.0,3.04,9.43,1.15, Dale_New
792.0,886.0,952.0,908.0,877.0,2.77,9.45,1.48, Dale_New
792.0,886.0,952.0,908.0,877.0,2.52,9.54,1.5, Dale_New
793.0,887.0,951.0,908.0,877.0,2.62,9.45,1.4, Dale_New
793.0,887.0,950.0,908.0,877.0,2.54,9.54,1.4, Dale_New
792.0,887.0,950.0,908.0,877.0,2.35,9.61,1.58, Dale_New
792.0,887.0,950.0,908.0,877.0,2.36,9.61,1.54, Dale_New
792.0,888.0,953.0,911.0,877.0,2.49,9.64,1.53, Dale_New
791.0,888.0,952.0,910.0,877.0,2.32,9.59,1.71, Dale_New
