F1,F2,F3,F4,F5,X,Y,Z,Gesture
854.0,823.0,957.0,912.0,878.0,1.67,9.24,2.22,ILoveYou_New
854.0,823.0,958.0,912.0,878.0,1.73,9.64,2.33,ILoveYou_New
854.0,823.0,958.0,912.0,877.0,1.85,9.61,2.42,ILoveYou_New
853.0,822.0,958.0,912.0,877.0,1.83,9.54,2.58,ILoveYou_New
853.0,822.0,957.0,912.0,877.0,1.98,9.48,2.72,ILoveYou_New
853.0,822.0,958.0,912.0,877.0,1.96,9.53,2.46,ILoveYou_New
854.0,822.0,958.0,913.0,877.0,2.52,9.38,2.71,ILoveYou_New
855.0,822.0,957.0,913.0,877.0,2.57,9.43,2.67,ILoveYou_New
855.0,822.0,957.0,913.0,877.0,2.47,9.41,2.7,ILoveYou_New
856.0,822.0,958.0,913.0,877.0,2.52,9.4,2.64,ILoveYou_New
857.0,822.0,959.0,915.0,877.0,2.43,9.43,2.54,ILoveYou_New
855.0,822.0,958.0,914.0,878.0,2.44,9.41,2.66,ILoveYou_New
853.0,822.0,958.0,913.0,879.0,2.33,9.45,2.68,ILoveYou_New
853.0,822.0,958.0,913.0,878.0,2.31,9.47,2.76,ILoveYou_New
854.0,822.0,958.0,913.0,878.0,2.25,9.44,2.76,ILoveYou_New
854.0,822.0,958.0,913.0,878.0,2.3,9.47,2.67,ILoveYou_New
854.0,822.0,958.0,913.0,878.0,2.33,9.46,2.57,ILoveYou_New
853.0,822.0,958.0,913.0,878.0,2.27,9.49,2.63,ILoveYou_New
853.0,821.0,958.0,913.0,878.0,2.31,9.48,2.57,ILoveYou_New
853.0,822.0,958.0,913.0,878.0,2.31,9.44,2.67,ILoveYou_New
860.0,822.0,957.0,912.0,878.0,1.77,9.11,2.63,ILoveYou_New
860.0,822.0,957.0,912.0,878.0,1.83,9.56,2.72,ILoveYou_New
863.0,822.0,957.0,912.0,878.0,1.77,9.54,2.74,ILoveYou_New
861.0,822.0,957.0,912.0,879.0,1.83,9.55,2.76,ILoveYou_New
859.0,823.0,957.0,912.0,879.0,1.72,9.5,2.77,ILoveYou_New
855.0,823.0,957.0,912.0,879.0,1.79,9.53,2.76,ILoveYou_New
855.0,823.0,958.0,912.0,879.0,1.8,9.54,2.82,ILoveYou_New
856.0,823.0,957.0,912.0,878.0,1.64,9.51,2.86,ILoveYou_New
