F1,F2,F3,F4,F5,X,Y,Z,Gesture
900.0,898.0,958.0,920.0,893.0,0.17,9.3,2.23,I_New
900.0,898.0,959.0,919.0,893.0,-0.08,9.74,2.24,I_New
900.0,898.0,958.0,919.0,893.0,0.11,9.68,2.35,I_New
900.0,899.0,958.0,919.0,893.0,0.23,9.71,2.39,I_New
900.0,898.0,958.0,919.0,893.0,0.19,9.75,2.36,I_New
900.0,899.0,959.0,919.0,893.0,0.58,9.58,2.76,I_New
900.0,899.0,959.0,919.0,893.0,0.46,9.82,2.15,I_New
900.0,898.0,958.0,919.0,893.0,0.97,9.66,2.39,I_New
900.0,898.0,958.0,919.0,892.0,0.85,9.78,2.19,I_New
899.0,898.0,958.0,919.0,893.0,0.64,9.79,2.22,I_New
899.0,898.0,958.0,919.0,892.0,0.51,9.69,2.46,I_New
899.0,898.0,958.0,919.0,892.0,0.38,9.7,2.37,I_New
900.0,897.0,958.0,919.0,892.0,0.28,9.76,2.17,I_New
900.0,898.0,958.0,919.0,893.0,0.34,9.71,2.48,I_New
899.0,898.0,958.0,920.0,894.0,0.21,9.76,2.27,I_New
900.0,897.0,958.0,919.0,893.0,0.27,9.7,2.3,I_New
899.0,897.0,958.0,919.0,893.0,0.15,9.73,2.34,I_New
899.0,897.0,958.0,919.0,892.0,0.22,9.73,2.4,I_New
899.0,897.0,958.0,918.0,894.0,0.26,9.68,2.42,I_New
898.0,897.0,958.0,919.0,892.0,0.29,9.67,2.36,I_New
910.0,898.0,957.0,918.0,892.0,1.5,9.07,2.94,I_New
907.0,898.0,958.0,918.0,892.0,1.26,9.53,3.25,I_New
906.0,898.0,958.0,918.0,895.0,1.08,9.57,3.06,I_New
905.0,898.0,957.0,917.0,893.0,1.1,9.62,2.72,I_New
905.0,897.0,957.0,917.0,892.0,1.11,9.56,3.05,I_New
905.0,897.0,957.0,917.0,891.0,1.3,9.59,3.0,I_New
904.0,898.0,957.0,917.0,891.0,1.74,9.53,3.11,I_New
904.0,896.0,957.0,917.0,891.0,0.21,9.56,3.01,I_New
904.0,896.0,956.0,917.0,891.0,0.7,9.61,2.96,I_New
904.0,897.0,957.0,917.0,891.0,0.93,9.55,3.13,I_New
903.0,896.0,956.0,917.0,891.0,0.32,9.66,2.27,I_New
904.0,896.0,958.0,917.0,891.0,0.22,9.75,2.12,I_New
903.0,896.0,956.0,917.0,891.0,-0.15,9.75,2.21,I_New
904.0,896.0,956.0,917.0,891.0,-0.37,9.78,1.92,I_New
903.0,896.0,956.0,917.0,891.0,-0.19,9.65,2.37,I_New
903.0,896.0,956.0,917.0,891.0,-0.23,9.74,2.06,I_New
903.0,895.0,956.0,917.0,891.0,0.05,9.73,2.25,I_New
903.0,895.0,956.0,917.0,891.0,0.85,9.69,2.51,I_New
903.0,895.0,956.0,917.0,891.0,-0.39,9.69,2.19,I_New
902.0,895.0,956.0,918.0,891.0,0.8,9.73,2.27,I_New
902.0,895.0,954.0,913.0,893.0,0.17,9.79,1.38,I_New
924.0,897.0,953.0,913.0,891.0,0.83,9.69,2.12,I_New
902.0,895.0,954.0,913.0,893.0,0.17,9.79,1.38,I_New
924.0,897.0,953.0,913.0,891.0,0.83,9.69,2.12,I_New
916.0,897.0,951.0,912.0,891.0,0.84,9.35,1.67,I_New
915.0,897.0,952.0,912.0,891.0,0.59,9.8,1.73,I_New
915.0,896.0,952.0,913.0,891.0,0.88,9.75,1.85,I_New
913.0,895.0,952.0,913.0,891.0,0.61,9.67,1.97,I_New
911.0,895.0,953.0,912.0,891.0,-0.28,9.79,1.5,I_New
911.0,895.0,953.0,912.0,890.0,0.66,9.69,2.19,I_New
911.0,894.0,952.0,912.0,890.0,0.32,9.72,2.0,I_New
911.0,894.0,952.0,913.0,890.0,0.33,9.76,1.84,I_New
911.0,894.0,952.0,913.0,890.0,0.37,9.79,1.88,I_New
911.0,895.0,953.0,913.0,890.0,0.36,9.72,1.99,I_New
910.0,895.0,952.0,912.0,890.0,0.21,9.84,1.53,I_New
910.0,895.0,953.0,913.0,890.0,0.68,9.72,2.03,I_New
910.0,895.0,953.0,912.0,890.0,1.03,9.74,1.99,I_New
910.0,895.0,952.0,912.0,890.0,0.09,9.79,1.6,I_New
910.0,894.0,952.0,913.0,890.0,-0.43,9.76,1.43,I_New
910.0,894.0,952.0,913.0,890.0,0.21,9.79,1.56,I_New
908.0,893.0,950.0,913.0,890.0,-0.46,9.73,1.66,I_New
907.0,895.0,951.0,912.0,889.0,-0.55,9.62,1.97,I_New
907.0,894.0,951.0,912.0,891.0,0.37,9.25,2.37,I_New
906.0,894.0,953.0,913.0,889.0,0.41,9.7,2.35,I_New
905.0,893.0,956.0,916.0,889.0,0.36,9.72,2.38,I_New
905.0,893.0,955.0,914.0,889.0,0.46,9.74,2.39,I_New
905.0,893.0,958.0,916.0,889.0,0.42,9.66,2.35,I_New
905.0,893.0,958.0,916.0,888.0,0.38,9.72,2.28,I_New
905.0,894.0,957.0,915.0,888.0,0.28,9.73,2.37,I_New
905.0,894.0,957.0,915.0,888.0,0.45,9.74,2.35,I_New
904.0,893.0,955.0,914.0,888.0,0.32,9.68,2.29,I_New
905.0,893.0,955.0,914.0,888.0,0.29,9.73,2.26,I_New
904.0,893.0,955.0,914.0,888.0,0.16,9.69,2.37,I_New
904.0,893.0,954.0,914.0,888.0,0.2,9.73,2.3,I_New
904.0,893.0,955.0,914.0,888.0,0.31,9.67,2.4,I_New
904.0,893.0,955.0,913.0,888.0,0.28,9.71,2.38,I_New
904.0,893.0,955.0,913.0,888.0,0.26,9.75,2.28,I_New
904.0,893.0,955.0,913.0,888.0,0.19,9.69,2.38,I_New
904.0,893.0,955.0,913.0,888.0,0.29,9.7,2.32,I_New
904.0,893.0,954.0,913.0,888.0,0.18,9.72,2.3,I_New
904.0,893.0,954.0,912.0,888.0,1.3,9.33,1.97,I_New
905.0,893.0,954.0,913.0,890.0,1.36,9.7,2.04,I_New
904.0,893.0,955.0,912.0,893.0,1.14,9.85,1.79,I_New
905.0,893.0,954.0,912.0,890.0,1.15,9.79,1.95,I_New
911.0,894.0,954.0,912.0,889.0,1.28,9.73,1.92,I_New
917.0,896.0,952.0,912.0,888.0,1.06,9.71,1.99,I_New
915.0,895.0,951.0,912.0,888.0,1.16,9.65,2.04,I_New
913.0,895.0,951.0,912.0,888.0,1.25,9.63,2.05,I_New
912.0,895.0,951.0,912.0,889.0,1.28,9.72,1.98,I_New
911.0,894.0,951.0,912.0,888.0,1.23,9.79,1.89,I_New
911.0,894.0,952.0,912.0,888.0,1.22,9.75,1.95,I_New
911.0,894.0,952.0,912.0,888.0,1.23,9.73,1.95,I_New
910.0,894.0,952.0,912.0,888.0,1.06,9.73,1.9,I_New
910.0,893.0,951.0,912.0,889.0,1.26,9.67,2.01,I_New
910.0,894.0,951.0,912.0,888.0,1.19,9.68,2.02,I_New
910.0,893.0,952.0,912.0,888.0,1.08,9.74,1.91,I_New
910.0,894.0,951.0,912.0,888.0,1.13,9.77,1.93,I_New
910.0,893.0,951.0,912.0,888.0,1.25,9.74,1.85,I_New
910.0,893.0,952.0,912.0,888.0,0.9,9.71,2.04,I_New
910.0,893.0,951.0,912.0,887.0,1.01,9.7,1.96,I_New
907.0,892.0,950.0,911.0,888.0,0.32,9.36,1.76,I_New
907.0,892.0,951.0,911.0,888.0,0.37,9.8,1.89,I_New
907.0,892.0,951.0,912.0,888.0,0.47,9.74,1.8,I_New
906.0,893.0,951.0,912.0,888.0,0.35,9.75,1.77,I_New
907.0,892.0,951.0,911.0,888.0,-0.02,9.71,1.89,I_New
906.0,892.0,951.0,911.0,888.0,-0.5,9.7,2.16,I_New
906.0,892.0,951.0,912.0,888.0,0.69,9.69,2.2,I_New
