F1,F2,F3,F4,F5,X,Y,Z,Gesture
922.0,920.0,972.0,943.0,939.0,9.03,3.62,-1.66,Sorry_New
922.0,920.0,972.0,943.0,941.0,8.83,3.73,-1.99,Sorry_New
922.0,920.0,972.0,943.0,939.0,9.03,3.62,-1.66,Sorry_New
922.0,920.0,972.0,943.0,941.0,8.83,3.73,-1.99,Sorry_New
922.0,920.0,972.0,943.0,939.0,8.55,3.56,-1.81,Sorry_New
922.0,920.0,972.0,943.0,939.0,8.9,3.69,-1.92,Sorry_New
922.0,920.0,972.0,944.0,939.0,8.94,3.68,-1.91,Sorry_New
922.0,920.0,972.0,943.0,939.0,8.93,3.71,-1.93,Sorry_New
921.0,920.0,971.0,944.0,940.0,8.92,3.7,-2.01,Sorry_New
921.0,920.0,972.0,943.0,940.0,8.91,3.68,-1.94,Sorry_New
921.0,920.0,972.0,944.0,939.0,8.92,3.7,-1.9,Sorry_New
921.0,920.0,972.0,943.0,939.0,8.93,3.7,-1.91,Sorry_New
922.0,920.0,972.0,943.0,939.0,8.94,3.71,-1.87,Sorry_New
921.0,920.0,972.0,943.0,939.0,8.9,3.67,-1.87,Sorry_New
921.0,919.0,972.0,943.0,939.0,8.95,3.68,-1.85,Sorry_New
921.0,919.0,972.0,943.0,938.0,8.94,3.69,-1.9,Sorry_New
921.0,920.0,972.0,943.0,939.0,8.95,3.69,-1.95,Sorry_New
921.0,920.0,972.0,943.0,939.0,8.96,3.66,-1.89,Sorry_New
921.0,919.0,972.0,942.0,939.0,8.93,3.69,-1.89,Sorry_New
921.0,919.0,972.0,943.0,939.0,8.96,3.7,-1.88,Sorry_New
920.0,919.0,972.0,943.0,939.0,8.53,3.54,-1.88,Sorry_New
920.0,918.0,971.0,942.0,939.0,8.94,3.74,-1.88,Sorry_New
920.0,918.0,971.0,942.0,939.0,8.92,3.72,-1.87,Sorry_New
920.0,918.0,971.0,942.0,938.0,8.95,3.69,-1.89,Sorry_New
920.0,918.0,971.0,942.0,939.0,8.94,3.72,-1.91,Sorry_New
