F1,F2,F3,F4,F5,X,Y,Z,Gesture
916.0,819.0,828.0,959.0,956.0,2.58,7.98,5.34,U_New
917.0,819.0,827.0,960.0,954.0,2.52,8.63,5.19,U_New
918.0,820.0,826.0,959.0,953.0,3.23,8.77,4.55,U_New
918.0,819.0,825.0,959.0,950.0,3.49,8.57,4.68,U_New
919.0,820.0,826.0,962.0,950.0,3.64,8.53,4.67,U_New
918.0,820.0,826.0,961.0,950.0,3.61,8.54,4.65,U_New
918.0,820.0,827.0,959.0,952.0,3.6,8.46,4.75,U_New
917.0,819.0,827.0,959.0,950.0,3.5,8.51,4.76,U_New
917.0,819.0,827.0,959.0,949.0,3.37,8.57,4.74,U_New
917.0,819.0,828.0,959.0,949.0,3.49,8.56,4.75,U_New
917.0,820.0,830.0,959.0,949.0,3.33,8.66,4.64,U_New
917.0,820.0,831.0,959.0,949.0,3.3,8.49,4.82,U_New
916.0,819.0,831.0,958.0,949.0,3.57,8.54,4.72,U_New
917.0,820.0,832.0,959.0,948.0,3.44,8.54,4.79,U_New
916.0,820.0,831.0,959.0,948.0,3.43,8.49,4.83,U_New
916.0,820.0,831.0,959.0,948.0,3.43,8.51,4.8,U_New
915.0,820.0,831.0,959.0,948.0,3.34,8.53,4.82,U_New
915.0,820.0,831.0,959.0,948.0,3.4,8.6,4.71,U_New
915.0,820.0,831.0,958.0,948.0,3.43,8.51,4.8,U_New
916.0,820.0,832.0,959.0,947.0,3.43,8.55,4.78,U_New
913.0,820.0,830.0,959.0,946.0,3.85,8.05,4.36,U_New
912.0,820.0,829.0,959.0,945.0,3.91,8.34,4.61,U_New
912.0,820.0,829.0,958.0,945.0,3.85,8.47,4.53,U_New
912.0,820.0,829.0,959.0,945.0,3.86,8.43,4.57,U_New
912.0,820.0,829.0,959.0,945.0,3.82,8.52,4.48,U_New
911.0,820.0,829.0,958.0,945.0,3.79,8.46,4.55,U_New
911.0,820.0,829.0,959.0,945.0,3.86,8.49,4.51,U_New
911.0,820.0,829.0,958.0,945.0,3.8,8.47,4.59,U_New
911.0,820.0,830.0,959.0,945.0,3.78,8.44,4.62,U_New
911.0,820.0,830.0,958.0,945.0,3.7,8.5,4.62,U_New
912.0,820.0,830.0,958.0,944.0,3.82,8.42,4.64,U_New
