F1,F2,F3,F4,F5,X,Y,Z,Gesture
805.0,867.0,892.0,875.0,883.0,-2.44,5.49,6.99,Dale
805.0,865.0,888.0,875.0,883.0,6.8,4.06,7.39,Dale
803.0,868.0,892.0,878.0,877.0,7.99,2.57,7.41,Dale
807.0,874.0,905.0,877.0,875.0,5.72,7.82,3.5,Dale
806.0,866.0,896.0,874.0,888.0,-0.56,7.47,8.11,Dale
804.0,864.0,895.0,874.0,886.0,0.63,8.36,6.93,Dale
803.0,866.0,895.0,877.0,879.0,4.7,5.2,6.66,Dale
810.0,868.0,900.0,879.0,877.0,2.87,3.09,11.35,Dale
807.0,865.0,898.0,881.0,876.0,3.87,4.79,9.17,Dale
805.0,864.0,897.0,877.0,875.0,5.0,6.16,7.16,Dale
805.0,863.0,897.0,874.0,875.0,0.51,7.73,7.33,Dale
803.0,862.0,895.0,874.0,876.0,2.95,7.65,7.12,Dale
820.0,869.0,906.0,881.0,874.0,6.12,5.37,9.05,Dale
816.0,867.0,904.0,879.0,873.0,5.31,4.78,10.18,Dale
809.0,862.0,899.0,877.0,873.0,6.92,7.67,3.63,Dale
807.0,862.0,897.0,875.0,874.0,7.59,3.33,7.46,Dale
806.0,861.0,896.0,875.0,874.0,5.21,2.64,8.67,Dale
805.0,859.0,895.0,874.0,874.0,6.85,4.03,7.11,Dale
805.0,859.0,895.0,873.0,874.0,5.88,6.39,5.46,Dale
804.0,859.0,894.0,873.0,874.0,8.8,4.91,5.63,Dale
859.0,846.0,915.0,875.0,881.0,7.95,6.63,3.23,Dale
858.0,846.0,915.0,875.0,880.0,3.1,7.76,5.8,Dale
858.0,846.0,914.0,874.0,880.0,5.82,7.21,4.94,Dale
857.0,845.0,914.0,873.0,880.0,7.35,6.95,3.39,Dale
858.0,845.0,914.0,872.0,881.0,5.83,7.06,5.42,Dale
859.0,845.0,914.0,875.0,880.0,7.8,7.3,2.95,Dale
858.0,845.0,914.0,882.0,880.0,3.72,6.47,7.86,Dale
858.0,844.0,913.0,884.0,880.0,5.54,6.8,5.41,Dale
857.0,844.0,912.0,883.0,879.0,5.81,6.93,6.25,Dale
857.0,843.0,912.0,889.0,878.0,6.86,6.82,4.68,Dale
855.0,843.0,911.0,889.0,878.0,5.14,6.73,5.71,Dale
855.0,842.0,909.0,903.0,873.0,7.5,6.09,5.85,Dale
856.0,842.0,914.0,909.0,870.0,6.66,6.62,5.01,Dale
857.0,841.0,913.0,904.0,873.0,7.62,6.01,4.4,Dale
857.0,842.0,913.0,901.0,875.0,4.9,6.17,6.76,Dale
857.0,842.0,913.0,899.0,879.0,5.13,6.62,5.38,Dale
857.0,842.0,911.0,898.0,876.0,8.25,6.33,3.52,Dale
858.0,842.0,911.0,898.0,876.0,5.26,6.73,4.92,Dale
858.0,842.0,911.0,897.0,876.0,8.49,6.44,4.02,Dale
859.0,842.0,910.0,896.0,876.0,3.6,6.6,7.13,Dale
860.0,849.0,851.0,845.0,888.0,9.03,-1.0,3.57,Dale
859.0,849.0,852.0,844.0,886.0,9.61,0.37,-1.36,Dale
860.0,848.0,851.0,844.0,886.0,6.94,2.34,-6.37,Dale
859.0,848.0,851.0,845.0,885.0,8.98,-1.07,4.29,Dale
860.0,847.0,850.0,844.0,883.0,8.62,0.51,-2.96,Dale
861.0,846.0,850.0,844.0,883.0,7.41,1.97,-6.03,Dale
871.0,846.0,854.0,847.0,889.0,9.8,-0.84,3.38,Dale
882.0,847.0,859.0,849.0,888.0,8.84,-0.05,6.0,Dale
875.0,847.0,858.0,848.0,887.0,8.7,-0.3,6.15,Dale
839.0,841.0,852.0,847.0,885.0,9.02,-0.51,5.85,Dale
845.0,841.0,852.0,847.0,888.0,8.81,-0.71,6.18,Dale
874.0,843.0,857.0,847.0,885.0,9.27,-0.59,5.68,Dale
864.0,843.0,855.0,845.0,884.0,8.4,-0.53,-3.25,Dale
860.0,843.0,854.0,844.0,884.0,7.87,-1.08,-1.28,Dale
856.0,842.0,853.0,844.0,886.0,9.04,-0.02,-2.2,Dale
871.0,842.0,852.0,843.0,883.0,-2.4,1.94,-7.65,Dale
859.0,842.0,852.0,844.0,883.0,2.12,-2.49,-8.77,Dale
857.0,841.0,849.0,845.0,882.0,8.44,-1.17,5.85,Dale
854.0,840.0,850.0,844.0,881.0,9.47,0.5,-2.19,Dale
852.0,842.0,851.0,844.0,881.0,2.2,2.36,-8.01,Dale
