F1,F2,F3,F4,F5,X,Y,Z,Gesture
865.0,877.0,0.0,829.0,880.0,-1.82,8.11,6.42,F1
864.0,877.0,0.0,828.0,880.0,-1.73,6.9,7.35,F1
879.0,880.0,0.0,828.0,880.0,-0.53,6.24,6.59,F1
872.0,878.0,0.0,828.0,881.0,-0.65,7.83,6.95,F1
870.0,877.0,0.0,828.0,880.0,-1.52,8.0,6.56,F1
868.0,877.0,0.0,830.0,882.0,-1.7,8.38,6.05,F1
868.0,878.0,0.0,829.0,881.0,-1.49,8.47,5.86,F1
868.0,879.0,0.0,829.0,880.0,-1.51,8.27,6.23,F1
872.0,881.0,0.0,828.0,880.0,-0.62,8.13,6.51,F1
888.0,885.0,0.0,826.0,879.0,-1.42,8.2,6.31,F1
888.0,886.0,0.0,825.0,880.0,-1.59,8.32,6.22,F1
885.0,887.0,0.0,826.0,879.0,-0.82,8.21,6.37,F1
881.0,886.0,0.0,828.0,880.0,-1.1,8.28,6.26,F1
880.0,885.0,0.0,825.0,879.0,-1.06,8.31,6.27,F1
879.0,884.0,0.0,826.0,879.0,-1.01,8.26,6.32,F1
879.0,883.0,0.0,826.0,879.0,-0.95,8.34,6.22,F1
879.0,882.0,0.0,824.0,879.0,-0.96,8.12,6.49,F1
879.0,881.0,0.0,822.0,879.0,-1.21,8.13,6.51,F1
878.0,881.0,0.0,821.0,878.0,-1.09,8.2,6.46,F1
878.0,880.0,0.0,819.0,879.0,-1.18,8.2,6.43,F1
893.0,884.0,0.0,808.0,879.0,-1.25,7.9,5.87,F1
891.0,884.0,0.0,807.0,878.0,-1.94,8.43,6.27,F1
889.0,883.0,0.0,808.0,878.0,-1.46,8.11,6.46,F1
889.0,883.0,0.0,807.0,878.0,-1.44,8.13,6.54,F1
888.0,883.0,0.0,808.0,878.0,-1.22,7.73,7.02,F1
885.0,883.0,0.0,808.0,878.0,-0.81,7.82,6.93,F1
884.0,883.0,0.0,808.0,878.0,-1.26,7.79,6.97,F1
884.0,882.0,0.0,807.0,878.0,-0.87,7.76,7.05,F1
884.0,882.0,0.0,807.0,878.0,-0.95,7.88,6.94,F1
884.0,882.0,0.0,807.0,877.0,-0.87,7.87,6.99,F1
884.0,883.0,0.0,806.0,878.0,-0.96,7.9,6.94,F1
884.0,882.0,0.0,806.0,877.0,-1.05,7.8,7.01,F1
884.0,882.0,0.0,807.0,878.0,-0.72,7.81,7.06,F1
883.0,883.0,0.0,807.0,878.0,-0.89,7.83,7.03,F1
884.0,882.0,0.0,806.0,877.0,-0.92,7.86,6.99,F1
883.0,882.0,0.0,806.0,878.0,-0.92,7.8,7.04,F1
883.0,882.0,0.0,806.0,877.0,-0.84,7.89,6.96,F1
883.0,881.0,0.0,806.0,877.0,-0.84,7.79,7.07,F1
884.0,882.0,0.0,807.0,877.0,-0.93,7.79,7.1,F1
883.0,881.0,0.0,806.0,877.0,-0.8,7.86,7.02,F1
881.0,885.0,0.0,808.0,871.0,-0.59,7.82,7.13,F1
880.0,882.0,0.0,801.0,873.0,-0.45,7.68,7.33,F1
877.0,879.0,0.0,799.0,873.0,-0.89,8.22,6.65,F1
881.0,885.0,0.0,808.0,871.0,-0.59,7.82,7.13,F1
880.0,882.0,0.0,801.0,873.0,-0.45,7.68,7.33,F1
877.0,879.0,0.0,799.0,873.0,-0.89,8.22,6.65,F1
875.0,878.0,0.0,799.0,873.0,-0.81,7.71,6.46,F1
874.0,878.0,0.0,799.0,873.0,-0.77,8.17,6.57,F1
874.0,878.0,0.0,798.0,873.0,-1.0,8.43,6.2,F1
873.0,878.0,0.0,797.0,874.0,-0.62,8.25,6.02,F1
867.0,878.0,0.0,795.0,873.0,-1.28,8.32,6.3,F1
866.0,878.0,0.0,794.0,873.0,-0.64,8.51,6.11,F1
866.0,878.0,0.0,795.0,873.0,-0.72,8.3,6.21,F1
866.0,877.0,0.0,795.0,873.0,-1.0,8.31,6.18,F1
865.0,877.0,0.0,794.0,874.0,-0.96,8.14,6.51,F1
865.0,876.0,0.0,794.0,874.0,-0.87,8.13,6.6,F1
865.0,876.0,0.0,794.0,874.0,-0.76,7.92,6.76,F1
865.0,876.0,0.0,794.0,874.0,-0.96,8.2,6.56,F1
865.0,876.0,0.0,794.0,873.0,-0.99,8.27,6.36,F1
864.0,876.0,0.0,794.0,874.0,-1.28,8.3,6.41,F1
915.0,920.0,0.0,844.0,894.0,-2.41,8.26,4.71,F1
900.0,911.0,0.0,811.0,882.0,-3.02,7.83,5.69,F1
902.0,907.0,0.0,810.0,887.0,-1.79,7.81,6.82,F1
886.0,895.0,0.0,814.0,881.0,-1.5,7.89,6.19,F1
884.0,893.0,0.0,812.0,881.0,-1.97,7.46,6.71,F1
881.0,891.0,0.0,810.0,881.0,-2.01,7.84,6.58,F1
880.0,891.0,0.0,808.0,881.0,-2.04,7.79,6.68,F1
878.0,890.0,0.0,805.0,881.0,-2.03,7.8,6.64,F1
876.0,889.0,0.0,804.0,881.0,-1.47,8.03,6.72,F1
874.0,889.0,0.0,804.0,881.0,-1.58,8.14,6.65,F1
867.0,888.0,0.0,804.0,881.0,-1.65,7.96,6.64,F1
866.0,888.0,0.0,805.0,880.0,-1.58,8.06,6.6,F1
865.0,887.0,0.0,806.0,881.0,-1.7,8.19,6.28,F1
865.0,886.0,0.0,807.0,881.0,-1.33,7.95,6.71,F1
865.0,885.0,0.0,805.0,879.0,-0.79,8.03,6.59,F1
865.0,884.0,0.0,804.0,879.0,-0.95,8.09,6.59,F1
866.0,883.0,0.0,805.0,879.0,-0.19,7.91,7.02,F1
865.0,884.0,0.0,806.0,879.0,-0.66,7.67,6.99,F1
865.0,884.0,0.0,805.0,880.0,-1.33,7.36,7.35,F1
850.0,873.0,0.0,806.0,882.0,-1.4,8.18,6.48,F1
863.0,889.0,0.0,810.0,875.0,-1.26,7.63,7.18,F1
882.0,889.0,0.0,809.0,876.0,-1.33,7.32,7.25,F1
875.0,887.0,0.0,809.0,876.0,-1.8,7.86,6.59,F1
870.0,887.0,0.0,808.0,877.0,-0.89,7.33,6.55,F1
869.0,885.0,0.0,810.0,876.0,-0.57,7.24,7.31,F1
869.0,885.0,0.0,808.0,876.0,-1.41,7.64,7.27,F1
867.0,887.0,0.0,807.0,877.0,-0.77,7.69,7.3,F1
865.0,885.0,0.0,807.0,877.0,-1.37,7.58,7.42,F1
862.0,884.0,0.0,805.0,877.0,-1.44,7.16,7.58,F1
861.0,883.0,0.0,804.0,876.0,-1.35,7.46,7.49,F1
860.0,883.0,0.0,804.0,875.0,-1.46,7.44,7.52,F1
859.0,882.0,0.0,804.0,876.0,-1.38,7.04,7.74,F1
859.0,882.0,0.0,804.0,877.0,-2.21,6.78,7.92,F1
858.0,882.0,0.0,805.0,877.0,-1.67,6.98,7.84,F1
858.0,880.0,0.0,804.0,876.0,-1.72,7.2,7.77,F1
856.0,878.0,0.0,804.0,875.0,-1.28,6.79,8.03,F1
856.0,878.0,0.0,803.0,874.0,-1.47,6.8,8.15,F1
855.0,878.0,0.0,803.0,874.0,-1.03,6.96,7.85,F1
854.0,879.0,0.0,803.0,874.0,-1.39,6.96,7.85,F1
848.0,880.0,0.0,803.0,874.0,-1.96,7.14,7.67,F1
818.0,875.0,0.0,805.0,870.0,-1.01,7.87,7.27,F1
817.0,875.0,0.0,803.0,869.0,-1.69,7.28,7.21,F1
816.0,874.0,0.0,803.0,871.0,-2.41,7.32,6.74,F1
818.0,875.0,0.0,805.0,870.0,-1.01,7.87,7.27,F1
817.0,875.0,0.0,803.0,869.0,-1.69,7.28,7.21,F1
816.0,874.0,0.0,803.0,871.0,-2.41,7.32,6.74,F1
812.0,874.0,0.0,805.0,872.0,-2.17,6.83,6.74,F1
