F1,F2,F3,F4,F5,X,Y,Z,Gesture
909.0,895.0,0.0,780.0,864.0,-0.55,7.41,6.85,F
909.0,895.0,0.0,780.0,864.0,-0.3,7.78,7.2,F
908.0,897.0,0.0,780.0,864.0,-0.95,7.86,7.1,F
908.0,895.0,0.0,780.0,863.0,0.15,8.11,6.92,F
908.0,897.0,0.0,780.0,863.0,-0.79,7.94,7.01,F
907.0,895.0,0.0,780.0,864.0,-0.28,7.92,6.98,F
907.0,897.0,0.0,780.0,863.0,-0.63,7.88,6.99,F
906.0,895.0,0.0,780.0,864.0,-0.26,7.79,7.0,F
906.0,896.0,0.0,780.0,864.0,-0.19,7.8,6.97,F
906.0,895.0,0.0,780.0,864.0,-0.28,7.85,6.92,F
906.0,896.0,0.0,780.0,863.0,-0.1,7.98,6.97,F
906.0,895.0,0.0,780.0,864.0,-0.56,7.81,6.94,F
906.0,895.0,0.0,780.0,863.0,0.0,8.03,6.99,F
906.0,897.0,0.0,780.0,863.0,-0.54,7.96,7.04,F
906.0,895.0,0.0,780.0,863.0,-0.06,7.98,7.07,F
905.0,895.0,0.0,780.0,864.0,-0.45,8.02,7.0,F
906.0,895.0,0.0,780.0,863.0,-0.24,7.86,7.13,F
907.0,895.0,0.0,780.0,863.0,-0.64,7.8,7.1,F
905.0,895.0,0.0,780.0,863.0,-0.51,7.7,7.24,F
906.0,895.0,0.0,780.0,864.0,-0.6,7.76,7.12,F
915.0,892.0,0.0,776.0,864.0,0.21,7.31,7.27,F
915.0,893.0,0.0,776.0,864.0,-0.49,7.23,7.81,F
914.0,892.0,0.0,777.0,864.0,0.17,7.12,7.93,F
914.0,893.0,0.0,776.0,864.0,-0.61,7.06,7.96,F
914.0,892.0,0.0,776.0,864.0,-0.3,7.68,7.45,F
914.0,892.0,0.0,776.0,864.0,-0.48,7.26,7.69,F
913.0,892.0,0.0,776.0,864.0,-0.15,7.31,7.59,F
913.0,893.0,0.0,776.0,864.0,-0.42,7.31,7.62,F
913.0,892.0,0.0,776.0,864.0,-0.15,7.37,7.64,F
913.0,892.0,0.0,777.0,864.0,0.14,7.27,7.73,F
913.0,893.0,0.0,776.0,864.0,-0.32,7.35,7.77,F
913.0,892.0,0.0,776.0,864.0,-0.02,7.47,7.75,F
