F1,F2,F3,F4,F5,X,Y,Z,Gesture
920.0,892.0,0.0,915.0,793.0,-2.12,5.95,8.95,I2
912.0,893.0,0.0,924.0,802.0,-1.3,6.22,8.48,I2
905.0,895.0,0.0,926.0,804.0,-1.56,6.38,8.45,I2
920.0,892.0,0.0,915.0,793.0,-2.12,5.95,8.95,I2
912.0,893.0,0.0,924.0,802.0,-1.3,6.22,8.48,I2
905.0,895.0,0.0,926.0,804.0,-1.56,6.38,8.45,I2
906.0,892.0,0.0,924.0,770.0,-0.8,6.03,8.28,I2
907.0,893.0,0.0,923.0,783.0,-1.39,6.25,8.76,I2
910.0,895.0,0.0,923.0,792.0,-1.42,6.08,8.81,I2
914.0,897.0,0.0,922.0,795.0,-1.47,6.25,9.08,I2
918.0,894.0,0.0,921.0,795.0,-1.49,6.29,8.67,I2
915.0,893.0,0.0,922.0,793.0,-1.29,6.33,8.84,I2
913.0,891.0,0.0,922.0,792.0,-1.51,6.52,8.56,I2
911.0,890.0,0.0,922.0,794.0,-0.99,5.95,8.78,I2
927.0,894.0,0.0,923.0,798.0,-1.83,6.23,8.79,I2
930.0,897.0,0.0,923.0,800.0,-1.85,5.76,8.85,I2
931.0,898.0,0.0,923.0,799.0,-1.82,5.46,9.02,I2
927.0,898.0,0.0,923.0,796.0,-1.72,6.22,9.11,I2
923.0,896.0,0.0,922.0,792.0,-1.36,5.78,8.87,I2
923.0,896.0,0.0,922.0,793.0,-1.67,5.61,9.02,I2
883.0,884.0,0.0,919.0,795.0,-1.39,6.08,8.76,I2
916.0,888.0,0.0,919.0,798.0,-1.85,5.88,8.9,I2
912.0,894.0,0.0,918.0,801.0,-1.87,5.38,9.07,I2
883.0,884.0,0.0,919.0,795.0,-1.39,6.08,8.76,I2
916.0,888.0,0.0,919.0,798.0,-1.85,5.88,8.9,I2
912.0,894.0,0.0,918.0,801.0,-1.87,5.38,9.07,I2
910.0,893.0,0.0,920.0,775.0,-1.52,5.35,8.73,I2
906.0,890.0,0.0,920.0,789.0,-0.79,5.59,9.22,I2
902.0,889.0,0.0,920.0,792.0,-0.23,5.37,9.31,I2
906.0,891.0,0.0,920.0,791.0,-0.48,5.55,9.32,I2
908.0,893.0,0.0,920.0,792.0,-1.19,5.54,9.23,I2
920.0,897.0,0.0,919.0,796.0,-1.77,5.06,9.26,I2
922.0,893.0,0.0,919.0,798.0,-0.84,5.65,9.1,I2
917.0,891.0,0.0,919.0,801.0,-1.3,5.68,9.33,I2
913.0,889.0,0.0,919.0,800.0,-0.13,5.37,9.45,I2
910.0,889.0,0.0,920.0,797.0,0.04,5.42,9.43,I2
911.0,891.0,0.0,920.0,794.0,-0.34,5.75,9.25,I2
917.0,895.0,0.0,920.0,796.0,-0.84,5.44,9.38,I2
921.0,897.0,0.0,920.0,798.0,-0.79,5.72,9.22,I2
916.0,893.0,0.0,919.0,801.0,-0.46,5.81,9.2,I2
932.0,923.0,0.0,918.0,801.0,-1.63,5.44,8.97,I2
924.0,919.0,0.0,918.0,802.0,-2.26,5.94,8.51,I2
919.0,903.0,0.0,922.0,798.0,-1.58,5.52,9.2,I2
932.0,923.0,0.0,918.0,801.0,-1.63,5.44,8.97,I2
924.0,919.0,0.0,918.0,802.0,-2.26,5.94,8.51,I2
917.0,913.0,0.0,918.0,773.0,-1.03,5.48,8.73,I2
915.0,912.0,0.0,917.0,781.0,-0.32,5.66,9.3,I2
913.0,911.0,0.0,918.0,784.0,-0.21,5.76,9.3,I2
915.0,911.0,0.0,917.0,790.0,-0.94,5.49,9.36,I2
914.0,912.0,0.0,917.0,795.0,-1.32,5.56,9.34,I2
919.0,914.0,0.0,917.0,799.0,-2.13,4.98,9.31,I2
914.0,912.0,0.0,917.0,799.0,-1.37,5.39,9.21,I2
910.0,908.0,0.0,917.0,798.0,0.11,5.63,9.27,I2
900.0,898.0,0.0,917.0,793.0,-0.88,5.78,9.2,I2
904.0,897.0,0.0,918.0,793.0,-1.35,5.63,9.08,I2
