F1,F2,F3,F4,F5,X,Y,Z,Gesture
0.0,814.0,0.0,924.0,891.0,1.61,7.19,6.29,ILoveYou
844.0,812.0,0.0,924.0,888.0,1.98,8.51,5.67,ILoveYou
844.0,812.0,0.0,922.0,889.0,1.8,8.48,6.02,ILoveYou
843.0,811.0,0.0,920.0,887.0,1.91,8.49,5.86,ILoveYou
843.0,811.0,0.0,898.0,893.0,1.7,8.49,5.66,ILoveYou
835.0,811.0,0.0,904.0,891.0,1.64,8.48,6.06,ILoveYou
834.0,810.0,0.0,900.0,882.0,2.34,8.46,5.55,ILoveYou
834.0,810.0,0.0,899.0,882.0,1.96,8.75,5.27,ILoveYou
835.0,810.0,0.0,894.0,895.0,0.91,8.67,5.72,ILoveYou
834.0,810.0,0.0,890.0,892.0,2.58,8.03,5.98,ILoveYou
835.0,810.0,0.0,889.0,892.0,0.79,9.04,6.07,ILoveYou
834.0,811.0,0.0,888.0,891.0,3.05,8.17,5.79,ILoveYou
834.0,810.0,0.0,948.0,891.0,0.68,7.94,6.89,ILoveYou
834.0,810.0,0.0,948.0,892.0,2.11,7.98,6.5,ILoveYou
835.0,810.0,0.0,946.0,891.0,1.74,7.99,6.65,ILoveYou
839.0,810.0,0.0,944.0,890.0,1.73,8.15,6.45,ILoveYou
839.0,811.0,0.0,944.0,891.0,2.75,7.85,6.44,ILoveYou
838.0,811.0,0.0,943.0,891.0,2.72,8.02,6.32,ILoveYou
843.0,811.0,0.0,943.0,890.0,1.53,8.19,6.47,ILoveYou
843.0,810.0,0.0,944.0,890.0,2.98,7.84,6.33,ILoveYou
872.0,815.0,0.0,910.0,880.0,3.02,8.0,5.09,ILoveYou
871.0,813.0,0.0,910.0,884.0,0.92,8.49,6.05,ILoveYou
875.0,812.0,0.0,916.0,895.0,2.26,8.11,6.33,ILoveYou
874.0,812.0,0.0,913.0,892.0,2.16,8.21,6.16,ILoveYou
873.0,812.0,0.0,912.0,889.0,1.27,8.37,6.17,ILoveYou
873.0,812.0,0.0,912.0,888.0,2.17,8.53,5.61,ILoveYou
871.0,811.0,0.0,912.0,888.0,1.74,8.62,5.57,ILoveYou
