F1,F2,F3,F4,F5,X,Y,Z,Gesture
919.0,918.0,0.0,929.0,886.0,-2.55,6.47,7.56,I
919.0,918.0,0.0,928.0,887.0,-2.43,7.01,7.65,I
919.0,917.0,0.0,928.0,886.0,-2.69,7.17,7.59,I
919.0,918.0,0.0,927.0,886.0,-2.11,7.06,7.76,I
919.0,918.0,0.0,927.0,887.0,-1.88,7.12,7.6,I
918.0,918.0,0.0,927.0,887.0,-1.6,7.4,7.38,I
918.0,917.0,0.0,927.0,887.0,-1.44,7.44,7.37,I
918.0,917.0,0.0,927.0,887.0,-1.88,7.38,7.43,I
918.0,917.0,0.0,927.0,887.0,-1.33,7.54,7.41,I
918.0,917.0,0.0,927.0,887.0,-2.16,7.15,7.47,I
917.0,917.0,0.0,926.0,887.0,-1.07,7.53,7.3,I
918.0,917.0,0.0,927.0,887.0,-2.33,6.85,7.5,I
917.0,917.0,0.0,926.0,887.0,-1.64,7.34,7.26,I
918.0,918.0,0.0,927.0,887.0,-2.27,6.83,7.74,I
917.0,917.0,0.0,926.0,887.0,-1.79,7.26,7.44,I
917.0,918.0,0.0,926.0,887.0,-2.01,7.16,7.45,I
917.0,918.0,0.0,926.0,887.0,-1.99,6.94,7.46,I
917.0,917.0,0.0,925.0,887.0,-1.68,7.61,7.38,I
918.0,917.0,0.0,925.0,887.0,-2.56,6.88,7.81,I
917.0,917.0,0.0,926.0,887.0,-1.23,7.63,7.47,I
920.0,915.0,0.0,917.0,879.0,-0.79,7.15,7.62,I
920.0,914.0,0.0,917.0,879.0,-1.1,8.17,7.52,I
920.0,915.0,0.0,917.0,880.0,-2.99,7.29,9.26,I
920.0,916.0,0.0,917.0,879.0,-0.59,6.33,8.28,I
919.0,914.0,0.0,917.0,879.0,-0.09,7.44,8.74,I
920.0,915.0,0.0,916.0,879.0,-0.93,5.45,8.63,I
922.0,916.0,0.0,917.0,879.0,-0.91,6.1,8.84,I
923.0,915.0,0.0,918.0,879.0,-0.76,6.66,8.33,I
922.0,915.0,0.0,918.0,879.0,-1.21,6.34,8.51,I
921.0,915.0,0.0,917.0,879.0,-1.2,6.53,8.32,I
922.0,915.0,0.0,917.0,879.0,-41.68,-77.23,23.29,I
921.0,915.0,0.0,917.0,879.0,-10.42,-19.31,6.44,I
921.0,916.0,0.0,917.0,879.0,0.11,0.23,80.9,I
921.0,915.0,0.0,917.0,879.0,-41.68,-77.23,30.65,I
922.0,915.0,0.0,917.0,879.0,0.0,33.82,-1.23,I
921.0,915.0,0.0,917.0,879.0,-41.68,-77.23,35.55,I
922.0,915.0,0.0,917.0,879.0,0.15,0.15,-143.42,I
921.0,915.0,0.0,917.0,879.0,-41.68,-77.23,40.45,I
921.0,915.0,0.0,916.0,879.0,0.0,43.51,-1.23,I
921.0,915.0,0.0,917.0,879.0,0.18,145.87,145.87,I
911.0,927.0,0.0,919.0,892.0,0.63,7.43,6.86,I
911.0,927.0,0.0,919.0,892.0,0.44,7.67,7.14,I
911.0,927.0,0.0,920.0,892.0,0.32,7.65,7.27,I
910.0,927.0,0.0,920.0,892.0,0.29,7.66,7.29,I
