F1,F2,F3,F4,F5,X,Y,Z,Gesture
801.0,802.0,0.0,795.0,881.0,1.85,9.07,2.78,Mom
801.0,802.0,0.0,795.0,882.0,1.77,9.58,2.81,Mom
801.0,803.0,0.0,795.0,880.0,2.11,9.73,2.31,Mom
801.0,803.0,0.0,795.0,881.0,1.71,9.4,3.39,Mom
802.0,804.0,0.0,795.0,881.0,1.87,9.41,3.33,Mom
801.0,804.0,0.0,795.0,881.0,1.76,9.66,2.95,Mom
801.0,804.0,0.0,795.0,880.0,1.9,9.42,3.27,Mom
801.0,807.0,0.0,797.0,881.0,1.91,9.35,3.34,Mom
801.0,808.0,0.0,797.0,881.0,2.16,9.35,3.36,Mom
802.0,808.0,0.0,800.0,881.0,2.34,9.22,3.53,Mom
802.0,812.0,0.0,801.0,881.0,2.24,9.36,3.3,Mom
803.0,810.0,0.0,799.0,881.0,1.98,9.37,3.4,Mom
804.0,809.0,0.0,798.0,881.0,2.05,9.39,3.37,Mom
803.0,810.0,0.0,798.0,882.0,3.8,8.79,3.48,Mom
803.0,810.0,0.0,798.0,882.0,3.05,9.03,3.53,Mom
803.0,810.0,0.0,799.0,881.0,2.77,9.2,3.39,Mom
803.0,810.0,0.0,799.0,882.0,2.89,9.24,3.31,Mom
803.0,810.0,0.0,799.0,882.0,3.01,9.14,3.34,Mom
802.0,812.0,0.0,799.0,882.0,2.85,9.19,3.4,Mom
802.0,811.0,0.0,799.0,882.0,2.74,9.12,3.51,Mom
802.0,808.0,0.0,800.0,882.0,2.6,8.99,2.73,Mom
804.0,808.0,0.0,800.0,882.0,3.08,8.72,3.78,Mom
805.0,808.0,0.0,801.0,882.0,3.15,9.27,2.86,Mom
806.0,808.0,0.0,800.0,882.0,3.2,9.34,2.85,Mom
806.0,808.0,0.0,801.0,882.0,2.6,9.21,3.3,Mom
806.0,809.0,0.0,801.0,882.0,2.78,9.27,3.17,Mom
816.0,809.0,0.0,801.0,882.0,2.22,9.27,3.66,Mom
812.0,809.0,0.0,801.0,882.0,2.11,9.27,3.67,Mom
811.0,809.0,0.0,801.0,883.0,2.09,9.34,3.58,Mom
810.0,809.0,0.0,801.0,882.0,2.29,9.22,3.6,Mom
809.0,809.0,0.0,801.0,882.0,2.38,9.45,3.18,Mom
807.0,809.0,0.0,801.0,882.0,2.22,9.25,3.45,Mom
807.0,809.0,0.0,801.0,882.0,2.38,9.39,3.14,Mom
806.0,809.0,0.0,801.0,882.0,1.65,9.31,3.61,Mom
804.0,809.0,0.0,801.0,882.0,2.54,9.37,2.91,Mom
804.0,809.0,0.0,801.0,882.0,1.33,9.38,3.6,Mom
804.0,809.0,0.0,802.0,882.0,3.04,9.48,2.61,Mom
803.0,806.0,0.0,801.0,882.0,1.34,9.34,3.76,Mom
803.0,806.0,0.0,801.0,882.0,2.23,9.46,2.99,Mom
803.0,806.0,0.0,801.0,882.0,1.68,9.38,3.51,Mom
801.0,805.0,0.0,801.0,880.0,1.57,9.23,2.61,Mom
801.0,806.0,0.0,802.0,880.0,0.32,9.55,3.46,Mom
800.0,806.0,0.0,802.0,880.0,0.72,9.36,3.66,Mom
800.0,806.0,0.0,802.0,880.0,1.72,9.63,2.83,Mom
800.0,807.0,0.0,802.0,879.0,0.64,9.48,3.52,Mom
801.0,807.0,0.0,803.0,881.0,1.75,9.47,3.08,Mom
802.0,807.0,0.0,802.0,879.0,0.83,9.37,3.67,Mom
801.0,808.0,0.0,803.0,879.0,2.09,9.52,2.93,Mom
803.0,808.0,0.0,803.0,880.0,0.77,9.43,3.65,Mom
804.0,805.0,0.0,804.0,880.0,1.59,9.65,3.02,Mom
