F1,F2,F3,F4,F5,X,Y,Z,Gesture
941.0,910.0,0.0,944.0,936.0,1.2,8.75,4.51,Paws_Up
939.0,910.0,0.0,942.0,934.0,0.92,9.17,4.53,Paws_Up
938.0,908.0,0.0,938.0,932.0,0.99,9.13,4.54,Paws_Up
937.0,908.0,0.0,936.0,931.0,1.01,9.18,4.7,Paws_Up
936.0,907.0,0.0,936.0,931.0,1.05,9.15,4.64,Paws_Up
936.0,906.0,0.0,934.0,932.0,0.79,9.15,4.52,Paws_Up
930.0,905.0,0.0,938.0,932.0,1.44,8.94,5.14,Paws_Up
928.0,903.0,0.0,935.0,930.0,1.05,8.86,5.01,Paws_Up
927.0,902.0,0.0,934.0,930.0,1.71,9.85,4.31,Paws_Up
928.0,902.0,0.0,933.0,930.0,1.34,8.32,4.65,Paws_Up
927.0,901.0,0.0,934.0,930.0,0.95,9.66,4.13,Paws_Up
928.0,901.0,0.0,933.0,930.0,1.14,9.18,4.46,Paws_Up
928.0,901.0,0.0,933.0,930.0,1.09,9.35,4.22,Paws_Up
927.0,901.0,0.0,933.0,929.0,1.22,9.34,4.16,Paws_Up
927.0,901.0,0.0,933.0,930.0,0.71,9.36,4.07,Paws_Up
927.0,901.0,0.0,933.0,930.0,1.27,9.16,4.5,Paws_Up
927.0,901.0,0.0,932.0,929.0,1.39,9.23,4.13,Paws_Up
927.0,904.0,0.0,933.0,930.0,1.28,8.92,5.03,Paws_Up
926.0,903.0,0.0,933.0,929.0,0.99,9.14,4.87,Paws_Up
926.0,902.0,0.0,932.0,929.0,1.12,9.39,4.52,Paws_Up
936.0,914.0,0.0,949.0,947.0,1.06,8.22,5.68,Paws_Up
935.0,914.0,0.0,948.0,946.0,1.11,8.57,5.93,Paws_Up
934.0,913.0,0.0,948.0,946.0,1.06,8.55,5.89,Paws_Up
934.0,913.0,0.0,947.0,946.0,1.09,8.57,5.92,Paws_Up
934.0,913.0,0.0,947.0,946.0,1.16,8.6,5.91,Paws_Up
934.0,913.0,0.0,947.0,946.0,1.13,8.55,5.93,Paws_Up
933.0,912.0,0.0,947.0,946.0,1.2,8.54,6.0,Paws_Up
933.0,912.0,0.0,947.0,945.0,1.19,8.51,6.06,Paws_Up
933.0,912.0,0.0,946.0,945.0,1.17,8.46,6.11,Paws_Up
933.0,911.0,0.0,946.0,944.0,0.76,8.6,5.9,Paws_Up
933.0,912.0,0.0,946.0,945.0,1.28,8.58,5.88,Paws_Up
933.0,911.0,0.0,946.0,945.0,1.21,8.61,5.82,Paws_Up
933.0,911.0,0.0,946.0,945.0,1.39,8.5,6.02,Paws_Up
932.0,912.0,0.0,946.0,944.0,1.31,8.62,5.74,Paws_Up
932.0,911.0,0.0,946.0,944.0,1.42,8.63,5.87,Paws_Up
932.0,911.0,0.0,946.0,944.0,1.55,8.57,5.8,Paws_Up
932.0,911.0,0.0,946.0,944.0,1.5,8.56,5.62,Paws_Up
932.0,911.0,0.0,945.0,944.0,1.38,8.61,5.73,Paws_Up
932.0,910.0,0.0,945.0,944.0,1.3,8.74,5.46,Paws_Up
931.0,910.0,0.0,945.0,944.0,1.24,8.67,5.53,Paws_Up
923.0,899.0,0.0,936.0,929.0,3.38,8.64,4.68,Paws_Up
934.0,897.0,0.0,937.0,929.0,3.43,8.63,4.7,Paws_Up
925.0,902.0,0.0,936.0,929.0,3.07,8.46,4.1,Paws_Up
926.0,904.0,0.0,936.0,929.0,3.21,8.68,4.74,Paws_Up
