F1,F2,F3,F4,F5,X,Y,Z,Gesture
854.0,908.0,0.0,942.0,939.0,4.32,4.55,-6.14,Sorry
854.0,908.0,0.0,942.0,938.0,4.59,4.76,-6.43,Sorry
854.0,909.0,0.0,943.0,939.0,4.61,4.62,-6.36,Sorry
854.0,908.0,0.0,942.0,938.0,4.55,4.68,-6.53,Sorry
854.0,909.0,0.0,942.0,938.0,4.72,4.77,-6.42,Sorry
854.0,911.0,0.0,944.0,943.0,4.53,5.37,-6.14,Sorry
914.0,915.0,0.0,951.0,944.0,4.4,5.66,-5.75,Sorry
931.0,914.0,0.0,949.0,946.0,4.02,5.34,-6.44,Sorry
936.0,912.0,0.0,948.0,945.0,3.9,5.26,-6.46,Sorry
933.0,911.0,0.0,947.0,945.0,4.1,5.11,-6.54,Sorry
931.0,911.0,0.0,947.0,945.0,4.16,5.13,-6.46,Sorry
929.0,911.0,0.0,947.0,944.0,4.18,5.12,-6.43,Sorry
929.0,911.0,0.0,947.0,943.0,4.21,5.1,-6.45,Sorry
928.0,910.0,0.0,947.0,943.0,4.21,5.05,-6.5,Sorry
928.0,910.0,0.0,947.0,943.0,4.24,5.08,-6.42,Sorry
927.0,911.0,0.0,946.0,943.0,4.26,5.06,-6.46,Sorry
927.0,910.0,0.0,946.0,943.0,4.27,5.04,-6.44,Sorry
926.0,911.0,0.0,946.0,943.0,4.26,5.05,-6.45,Sorry
927.0,910.0,0.0,946.0,943.0,4.24,5.05,-6.43,Sorry
927.0,910.0,0.0,946.0,943.0,4.24,5.04,-6.51,Sorry
908.0,907.0,0.0,941.0,932.0,5.25,4.06,-6.52,Sorry
908.0,907.0,0.0,941.0,932.0,5.25,4.14,-6.64,Sorry
909.0,907.0,0.0,942.0,932.0,5.25,4.08,-6.5,Sorry
908.0,907.0,0.0,941.0,932.0,5.25,4.06,-6.52,Sorry
908.0,907.0,0.0,942.0,932.0,5.0,3.9,-6.24,Sorry
909.0,907.0,0.0,941.0,931.0,5.78,4.03,-6.59,Sorry
908.0,907.0,0.0,941.0,929.0,5.61,4.0,-6.37,Sorry
908.0,907.0,0.0,941.0,934.0,5.63,4.01,-6.66,Sorry
908.0,906.0,0.0,941.0,930.0,5.83,3.83,-6.08,Sorry
908.0,907.0,0.0,941.0,929.0,6.04,3.82,-6.16,Sorry
908.0,907.0,0.0,940.0,934.0,5.56,3.9,-5.98,Sorry
908.0,907.0,0.0,940.0,932.0,4.74,4.17,-7.13,Sorry
908.0,907.0,0.0,940.0,932.0,5.34,4.14,-6.53,Sorry
908.0,906.0,0.0,940.0,932.0,5.29,4.18,-6.46,Sorry
908.0,907.0,0.0,941.0,932.0,5.3,4.14,-6.42,Sorry
908.0,907.0,0.0,940.0,932.0,5.44,4.16,-6.41,Sorry
908.0,907.0,0.0,940.0,932.0,5.26,4.15,-6.41,Sorry
908.0,906.0,0.0,940.0,932.0,5.28,4.16,-6.45,Sorry
908.0,907.0,0.0,940.0,932.0,5.29,4.15,-6.41,Sorry
908.0,907.0,0.0,940.0,931.0,5.38,4.12,-6.41,Sorry
907.0,907.0,0.0,940.0,931.0,5.23,3.89,-6.11,Sorry
906.0,906.0,0.0,939.0,931.0,5.46,4.05,-6.4,Sorry
906.0,907.0,0.0,940.0,930.0,5.44,4.03,-6.29,Sorry
906.0,906.0,0.0,939.0,930.0,5.42,4.09,-6.45,Sorry
906.0,906.0,0.0,940.0,930.0,5.49,4.05,-6.41,Sorry
906.0,906.0,0.0,940.0,930.0,5.38,4.15,-6.37,Sorry
906.0,906.0,0.0,940.0,931.0,5.36,4.21,-6.54,Sorry
906.0,907.0,0.0,941.0,933.0,5.07,4.28,-6.52,Sorry
910.0,907.0,0.0,943.0,934.0,5.08,4.43,-6.56,Sorry
908.0,907.0,0.0,942.0,945.0,4.57,5.04,-6.99,Sorry
910.0,912.0,0.0,948.0,947.0,6.27,4.56,-4.95,Sorry
910.0,912.0,0.0,949.0,947.0,6.0,4.4,-5.55,Sorry
910.0,911.0,0.0,948.0,947.0,6.03,4.62,-5.82,Sorry
911.0,910.0,0.0,946.0,946.0,5.71,4.65,-5.78,Sorry
910.0,909.0,0.0,944.0,944.0,6.12,4.53,-5.78,Sorry
909.0,908.0,0.0,944.0,944.0,5.98,4.55,-5.69,Sorry
910.0,908.0,0.0,944.0,944.0,5.83,4.37,-5.86,Sorry
909.0,908.0,0.0,944.0,943.0,5.83,4.64,-5.78,Sorry
909.0,908.0,0.0,944.0,943.0,5.96,4.56,-5.67,Sorry
909.0,908.0,0.0,944.0,942.0,5.86,4.48,-5.83,Sorry
910.0,908.0,0.0,944.0,943.0,5.65,4.44,-5.5,Sorry
910.0,908.0,0.0,943.0,943.0,5.84,4.59,-5.9,Sorry
910.0,907.0,0.0,943.0,943.0,5.59,4.56,-5.89,Sorry
910.0,907.0,0.0,944.0,942.0,5.71,4.4,-5.71,Sorry
910.0,908.0,0.0,944.0,941.0,5.89,4.44,-5.55,Sorry
