F1,F2,F3,F4,F5,X,Y,Z,Gesture
887.0,819.0,0.0,935.0,785.0,-0.11,8.25,5.86,U1
888.0,819.0,0.0,934.0,797.0,0.31,8.35,6.12,U1
888.0,819.0,0.0,934.0,799.0,0.12,8.89,6.07,U1
887.0,819.0,0.0,933.0,803.0,-0.05,8.76,5.79,U1
887.0,820.0,0.0,933.0,808.0,0.76,8.5,5.89,U1
886.0,819.0,0.0,933.0,813.0,0.31,8.77,5.83,U1
887.0,819.0,0.0,933.0,814.0,0.34,8.53,6.02,U1
885.0,820.0,0.0,932.0,813.0,0.77,8.46,6.07,U1
884.0,820.0,0.0,933.0,809.0,0.65,8.31,6.36,U1
889.0,820.0,0.0,932.0,808.0,0.87,8.35,6.24,U1
894.0,820.0,0.0,933.0,811.0,0.02,8.4,6.41,U1
896.0,820.0,0.0,934.0,815.0,-0.08,8.13,6.55,U1
893.0,821.0,0.0,932.0,816.0,0.63,8.35,6.08,U1
891.0,821.0,0.0,931.0,813.0,0.27,8.58,6.11,U1
891.0,821.0,0.0,932.0,810.0,0.37,8.32,6.17,U1
904.0,820.0,0.0,935.0,811.0,-0.44,8.55,6.27,U1
901.0,821.0,0.0,934.0,811.0,-0.21,8.02,6.61,U1
900.0,821.0,0.0,933.0,812.0,0.78,8.38,6.1,U1
898.0,822.0,0.0,934.0,816.0,0.3,8.47,6.21,U1
897.0,822.0,0.0,933.0,815.0,0.13,8.49,6.22,U1
854.0,821.0,0.0,907.0,787.0,1.5,8.29,6.02,U1
824.0,822.0,0.0,918.0,793.0,0.39,8.59,6.08,U1
892.0,820.0,0.0,929.0,806.0,-0.7,8.44,5.96,U1
897.0,820.0,0.0,928.0,784.0,0.86,7.95,6.08,U1
897.0,820.0,0.0,927.0,792.0,0.48,8.3,6.38,U1
897.0,820.0,0.0,927.0,794.0,0.45,8.43,6.15,U1
897.0,820.0,0.0,926.0,798.0,0.32,8.5,6.23,U1
897.0,819.0,0.0,926.0,803.0,0.22,8.43,6.28,U1
897.0,819.0,0.0,925.0,806.0,0.65,8.11,6.43,U1
894.0,819.0,0.0,924.0,806.0,1.03,8.45,6.13,U1
894.0,819.0,0.0,924.0,804.0,1.04,8.61,6.02,U1
893.0,819.0,0.0,924.0,799.0,1.24,8.28,6.15,U1
894.0,819.0,0.0,929.0,804.0,0.79,8.46,6.13,U1
891.0,819.0,0.0,936.0,812.0,0.18,8.45,6.38,U1
891.0,819.0,0.0,935.0,815.0,0.5,8.3,6.42,U1
888.0,820.0,0.0,933.0,817.0,1.06,8.38,6.16,U1
885.0,820.0,0.0,933.0,813.0,1.21,8.47,6.24,U1
886.0,820.0,0.0,933.0,806.0,1.51,8.36,6.12,U1
893.0,821.0,0.0,932.0,808.0,1.03,8.39,6.23,U1
890.0,820.0,0.0,930.0,808.0,-0.26,8.65,6.33,U1
902.0,818.0,0.0,939.0,792.0,-0.19,7.91,6.39,U1
901.0,819.0,0.0,939.0,803.0,-0.12,8.2,6.57,U1
900.0,819.0,0.0,937.0,805.0,-0.11,8.09,6.69,U1
900.0,819.0,0.0,937.0,803.0,-0.3,8.22,6.67,U1
902.0,819.0,0.0,940.0,808.0,-0.07,7.76,7.03,U1
901.0,819.0,0.0,938.0,810.0,0.02,8.17,6.53,U1
900.0,819.0,0.0,936.0,816.0,-0.45,8.41,6.36,U1
900.0,819.0,0.0,936.0,815.0,0.11,8.31,6.38,U1
897.0,820.0,0.0,933.0,810.0,0.41,8.09,6.64,U1
895.0,820.0,0.0,934.0,805.0,-0.38,8.21,6.61,U1
893.0,819.0,0.0,938.0,810.0,-0.41,8.26,6.48,U1
892.0,819.0,0.0,936.0,810.0,0.24,8.29,6.38,U1
893.0,819.0,0.0,933.0,812.0,0.32,8.09,6.76,U1
894.0,819.0,0.0,933.0,811.0,0.17,7.95,7.0,U1
894.0,819.0,0.0,933.0,808.0,0.73,7.93,6.97,U1
895.0,819.0,0.0,935.0,805.0,0.55,7.98,6.94,U1
900.0,820.0,0.0,938.0,808.0,-0.14,8.03,6.82,U1
903.0,820.0,0.0,938.0,812.0,-0.57,7.71,7.08,U1
903.0,820.0,0.0,937.0,815.0,-0.41,7.95,6.99,U1
904.0,820.0,0.0,935.0,815.0,0.53,7.9,6.95,U1
892.0,819.0,0.0,930.0,811.0,-0.58,9.19,4.92,U1
882.0,820.0,0.0,924.0,800.0,0.16,8.95,4.85,U1
882.0,820.0,0.0,924.0,802.0,0.1,9.24,4.69,U1
892.0,819.0,0.0,930.0,811.0,-0.58,9.19,4.92,U1
902.0,819.0,0.0,934.0,781.0,-0.99,7.59,6.5,U1
