F1,F2,F3,F4,F5,X,Y,Z,Gesture
912.0,796.0,0.0,950.0,927.0,1.27,8.75,4.48,U
909.0,796.0,0.0,950.0,928.0,1.55,9.19,4.42,U
910.0,796.0,0.0,949.0,927.0,0.94,9.23,4.57,U
909.0,796.0,0.0,950.0,927.0,1.6,9.02,4.65,U
911.0,796.0,0.0,949.0,926.0,1.22,9.11,4.61,U
910.0,796.0,0.0,949.0,926.0,1.89,9.08,4.55,U
910.0,796.0,0.0,950.0,926.0,1.12,8.96,5.04,U
910.0,796.0,0.0,949.0,925.0,1.66,9.19,4.52,U
910.0,796.0,0.0,949.0,926.0,1.06,9.17,4.61,U
909.0,796.0,0.0,949.0,925.0,1.77,9.14,4.49,U
909.0,796.0,0.0,949.0,926.0,1.12,9.23,4.52,U
909.0,796.0,0.0,949.0,926.0,1.85,9.29,4.35,U
908.0,796.0,0.0,949.0,925.0,1.09,9.25,4.42,U
909.0,796.0,0.0,949.0,925.0,1.73,9.17,4.31,U
908.0,796.0,0.0,949.0,925.0,1.46,9.26,4.34,U
908.0,796.0,0.0,949.0,925.0,1.24,9.14,4.14,U
908.0,797.0,0.0,949.0,925.0,1.84,9.08,3.95,U
909.0,796.0,0.0,949.0,925.0,1.3,9.07,4.39,U
908.0,796.0,0.0,949.0,924.0,2.24,9.23,3.67,U
907.0,796.0,0.0,948.0,924.0,0.93,9.22,4.26,U
906.0,797.0,0.0,946.0,923.0,1.96,8.76,4.2,U
907.0,796.0,0.0,947.0,923.0,2.12,9.17,4.33,U
906.0,797.0,0.0,946.0,923.0,1.61,9.16,4.46,U
906.0,796.0,0.0,946.0,923.0,1.99,9.21,4.08,U
907.0,796.0,0.0,946.0,923.0,1.16,9.09,4.5,U
906.0,797.0,0.0,946.0,923.0,2.32,9.05,4.18,U
907.0,797.0,0.0,946.0,923.0,1.69,8.93,4.67,U
906.0,797.0,0.0,946.0,923.0,2.31,9.21,4.1,U
906.0,797.0,0.0,947.0,923.0,1.91,9.08,4.53,U
