F1,F2,F3,F4,F5,X,Y,Z,Gesture
898.0,799.0,0.0,770.0,917.0,-1.01,8.22,5.47,Water
899.0,800.0,0.0,770.0,918.0,-1.4,8.34,6.03,Water
898.0,799.0,0.0,771.0,918.0,-1.79,8.08,6.24,Water
898.0,799.0,0.0,771.0,918.0,-1.74,8.1,6.25,Water
898.0,800.0,0.0,771.0,918.0,-1.19,8.51,5.78,Water
898.0,800.0,0.0,771.0,918.0,-0.76,8.71,5.56,Water
899.0,800.0,0.0,771.0,919.0,-1.26,8.46,5.86,Water
899.0,799.0,0.0,771.0,921.0,-1.59,8.29,6.01,Water
899.0,800.0,0.0,771.0,921.0,-1.68,8.17,6.16,Water
899.0,799.0,0.0,771.0,920.0,-1.22,8.33,5.98,Water
899.0,800.0,0.0,771.0,921.0,-1.06,8.7,5.53,Water
899.0,799.0,0.0,771.0,920.0,-1.02,8.65,5.58,Water
899.0,799.0,0.0,771.0,920.0,-1.49,8.32,5.99,Water
899.0,800.0,0.0,771.0,920.0,-1.71,8.15,6.21,Water
899.0,800.0,0.0,771.0,920.0,-1.28,8.25,6.06,Water
900.0,800.0,0.0,771.0,920.0,-1.11,8.65,5.65,Water
900.0,800.0,0.0,771.0,919.0,-1.19,8.52,5.78,Water
900.0,800.0,0.0,771.0,918.0,-1.59,8.15,6.22,Water
900.0,800.0,0.0,771.0,920.0,-1.42,8.26,6.11,Water
899.0,800.0,0.0,771.0,920.0,-1.04,8.61,5.71,Water
895.0,801.0,0.0,772.0,917.0,-1.04,8.56,4.74,Water
896.0,801.0,0.0,772.0,918.0,-0.99,8.91,5.01,Water
897.0,801.0,0.0,772.0,918.0,-1.43,8.52,5.57,Water
896.0,801.0,0.0,772.0,920.0,-1.78,8.28,5.92,Water
896.0,801.0,0.0,772.0,918.0,-1.22,8.78,5.21,Water
896.0,801.0,0.0,772.0,917.0,-0.89,8.91,5.1,Water
897.0,801.0,0.0,773.0,917.0,-0.81,8.98,5.02,Water
897.0,801.0,0.0,772.0,917.0,-1.31,8.65,5.46,Water
897.0,801.0,0.0,773.0,917.0,-1.49,8.42,5.73,Water
897.0,801.0,0.0,772.0,917.0,-1.61,8.37,5.81,Water
897.0,801.0,0.0,772.0,917.0,-1.42,8.5,5.67,Water
897.0,801.0,0.0,773.0,917.0,-1.05,8.82,5.29,Water
897.0,801.0,0.0,773.0,917.0,-0.6,8.93,5.15,Water
897.0,801.0,0.0,772.0,917.0,-1.09,8.8,5.29,Water
896.0,801.0,0.0,773.0,917.0,-1.71,8.41,5.78,Water
896.0,801.0,0.0,773.0,917.0,-1.73,8.3,5.93,Water
