F1,F2,F3,F4,F5,X,Y,Z,Gesture
754.0,809.0,855.0,830.0,901.0,2.5,9.01,2.18,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.6,9.5,2.18,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.75,9.41,2.4,Mom1_New
753.0,809.0,855.0,831.0,901.0,2.69,9.41,2.28,Mom1_New
753.0,809.0,855.0,831.0,901.0,2.66,9.42,2.37,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.66,9.43,2.39,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.64,9.42,2.35,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.66,9.44,2.32,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.67,9.43,2.39,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.64,9.46,2.35,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.6,9.45,2.34,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.66,9.43,2.35,Mom1_New
752.0,810.0,856.0,831.0,901.0,2.64,9.44,2.34,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.57,9.45,2.32,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.69,9.45,2.33,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.66,9.44,2.31,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.62,9.41,2.34,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.59,9.46,2.31,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.61,9.46,2.39,Mom1_New
752.0,810.0,856.0,831.0,901.0,2.7,9.37,2.36,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.55,9.02,2.29,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.64,9.49,2.31,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.65,9.43,2.38,Mom1_New
752.0,809.0,856.0,831.0,900.0,2.57,9.44,2.31,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.67,9.45,2.4,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.66,9.42,2.37,Mom1_New
752.0,809.0,856.0,832.0,901.0,2.66,9.43,2.45,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.68,9.48,2.33,Mom1_New
754.0,809.0,856.0,831.0,901.0,2.58,9.49,2.33,Mom1_New
753.0,809.0,856.0,830.0,901.0,2.55,9.43,2.38,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.7,9.45,2.46,Mom1_New
753.0,809.0,855.0,831.0,901.0,2.68,9.4,2.46,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.64,9.39,2.42,Mom1_New
753.0,810.0,856.0,831.0,901.0,2.72,9.41,2.36,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.7,9.41,2.29,Mom1_New
752.0,810.0,856.0,831.0,901.0,2.62,9.46,2.31,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.68,9.44,2.37,Mom1_New
752.0,810.0,856.0,831.0,900.0,2.7,9.41,2.34,Mom1_New
753.0,810.0,856.0,831.0,901.0,2.69,9.44,2.36,Mom1_New
752.0,809.0,856.0,832.0,901.0,2.73,9.45,2.35,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.61,9.09,2.26,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.65,9.41,2.42,Mom1_New
753.0,809.0,856.0,832.0,901.0,2.69,9.4,2.38,Mom1_New
752.0,809.0,856.0,832.0,901.0,2.63,9.46,2.39,Mom1_New
751.0,809.0,856.0,831.0,901.0,2.75,9.42,2.37,Mom1_New
754.0,810.0,856.0,831.0,901.0,2.66,9.47,2.27,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.69,9.44,2.36,Mom1_New
753.0,809.0,857.0,831.0,901.0,2.73,9.42,2.31,Mom1_New
753.0,810.0,857.0,832.0,901.0,2.7,9.46,2.33,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.65,9.42,2.37,Mom1_New
753.0,809.0,856.0,832.0,901.0,2.72,9.34,2.35,Mom1_New
753.0,809.0,856.0,832.0,901.0,2.74,9.41,2.36,Mom1_New
753.0,809.0,856.0,832.0,902.0,2.75,9.41,2.35,Mom1_New
753.0,809.0,856.0,831.0,901.0,2.74,9.4,2.34,Mom1_New
753.0,810.0,856.0,832.0,901.0,2.74,9.4,2.34,Mom1_New
753.0,810.0,857.0,831.0,901.0,2.76,9.44,2.35,Mom1_New
753.0,809.0,856.0,832.0,901.0,2.78,9.45,2.32,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.8,9.4,2.36,Mom1_New
752.0,809.0,856.0,831.0,901.0,2.74,9.42,2.33,Mom1_New
752.0,810.0,856.0,831.0,901.0,2.77,9.36,2.4,Mom1_New
753.0,809.0,852.0,823.0,901.0,2.79,8.92,2.31,Mom1_New
753.0,810.0,852.0,823.0,901.0,2.86,9.37,2.4,Mom1_New
753.0,809.0,852.0,823.0,901.0,2.8,9.37,2.37,Mom1_New
753.0,809.0,851.0,823.0,900.0,2.85,9.39,2.32,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.83,9.38,2.4,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.8,9.44,2.36,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.85,9.39,2.39,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.83,9.39,2.32,Mom1_New
753.0,809.0,852.0,823.0,901.0,2.77,9.42,2.32,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.87,9.37,2.38,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.79,9.39,2.34,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.93,9.34,2.4,Mom1_New
753.0,809.0,851.0,823.0,900.0,2.87,9.4,2.38,Mom1_New
752.0,809.0,851.0,823.0,901.0,2.84,9.41,2.32,Mom1_New
753.0,808.0,851.0,823.0,901.0,2.71,9.4,2.37,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.79,9.4,2.32,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.91,9.33,2.43,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.88,9.38,2.4,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.86,9.36,2.39,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.83,9.37,2.36,Mom1_New
753.0,809.0,851.0,823.0,901.0,2.69,8.97,2.26,Mom1_New
753.0,808.0,851.0,823.0,901.0,2.79,9.39,2.36,Mom1_New
752.0,808.0,851.0,823.0,901.0,2.85,9.36,2.42,Mom1_New
752.0,809.0,851.0,823.0,901.0,2.86,9.43,2.34,Mom1_New
752.0,809.0,851.0,823.0,900.0,2.91,9.35,2.37,Mom1_New
752.0,809.0,851.0,823.0,901.0,2.91,9.39,2.36,Mom1_New
752.0,809.0,851.0,822.0,901.0,2.86,9.38,2.36,Mom1_New
752.0,809.0,851.0,823.0,901.0,2.85,9.33,2.35,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.83,9.37,2.34,Mom1_New
752.0,809.0,851.0,823.0,900.0,2.87,9.37,2.35,Mom1_New
752.0,809.0,852.0,823.0,900.0,2.84,9.39,2.34,Mom1_New
752.0,809.0,851.0,823.0,901.0,2.87,9.34,2.39,Mom1_New
752.0,809.0,851.0,823.0,901.0,2.9,9.39,2.33,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.82,9.39,2.35,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.92,9.36,2.35,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.82,9.36,2.39,Mom1_New
752.0,809.0,851.0,823.0,901.0,2.87,9.36,2.35,Mom1_New
751.0,809.0,851.0,823.0,900.0,2.82,9.4,2.27,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.86,9.43,2.28,Mom1_New
752.0,809.0,851.0,823.0,901.0,2.86,9.4,2.33,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.8,8.98,2.25,Mom1_New
752.0,809.0,851.0,823.0,900.0,2.83,9.38,2.37,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.81,9.39,2.3,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.87,9.39,2.27,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.84,9.38,2.31,Mom1_New
752.0,808.0,851.0,823.0,901.0,2.85,9.38,2.3,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.71,9.43,2.31,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.92,9.37,2.37,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.91,9.36,2.35,Mom1_New
751.0,809.0,852.0,823.0,901.0,2.86,9.34,2.36,Mom1_New
752.0,809.0,851.0,823.0,901.0,2.9,9.36,2.32,Mom1_New
751.0,809.0,851.0,822.0,901.0,2.92,9.34,2.38,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.92,9.38,2.37,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.92,9.35,2.39,Mom1_New
751.0,808.0,851.0,822.0,901.0,2.94,9.34,2.39,Mom1_New
751.0,809.0,851.0,823.0,901.0,2.88,9.36,2.38,Mom1_New
751.0,809.0,851.0,823.0,900.0,2.87,9.37,2.37,Mom1_New
751.0,809.0,851.0,823.0,900.0,2.94,9.37,2.38,Mom1_New
751.0,809.0,851.0,822.0,901.0,2.96,9.34,2.39,Mom1_New
751.0,809.0,852.0,823.0,900.0,2.89,9.36,2.39,Mom1_New
