F1,F2,F3,F4,F5,X,Y,Z,Gesture
914.0,909.0,972.0,939.0,942.0,1.9,9.11,2.44,Paws_Up_New
914.0,909.0,973.0,938.0,942.0,2.27,9.44,2.78,Paws_Up_New
914.0,908.0,972.0,938.0,942.0,2.3,9.44,2.79,Paws_Up_New
914.0,908.0,972.0,939.0,942.0,2.34,9.42,2.72,Paws_Up_New
914.0,908.0,972.0,938.0,943.0,2.38,9.4,2.8,Paws_Up_New
914.0,908.0,971.0,938.0,942.0,2.22,9.48,2.7,Paws_Up_New
913.0,908.0,972.0,938.0,942.0,2.16,9.46,2.73,Paws_Up_New
913.0,908.0,972.0,938.0,942.0,2.26,9.46,2.7,Paws_Up_New
914.0,907.0,972.0,938.0,942.0,2.1,9.42,2.84,Paws_Up_New
914.0,907.0,971.0,938.0,942.0,2.45,9.36,2.85,Paws_Up_New
913.0,907.0,971.0,938.0,942.0,2.14,9.48,2.72,Paws_Up_New
913.0,907.0,972.0,938.0,942.0,2.09,9.54,2.6,Paws_Up_New
913.0,907.0,971.0,938.0,942.0,2.12,9.42,2.78,Paws_Up_New
913.0,907.0,972.0,938.0,942.0,2.08,9.55,2.57,Paws_Up_New
912.0,907.0,971.0,938.0,942.0,2.11,9.47,2.74,Paws_Up_New
912.0,906.0,971.0,938.0,942.0,2.44,9.36,2.92,Paws_Up_New
912.0,907.0,971.0,937.0,942.0,2.36,9.35,2.98,Paws_Up_New
912.0,906.0,971.0,938.0,941.0,2.18,9.43,2.86,Paws_Up_New
912.0,907.0,971.0,938.0,943.0,2.3,9.45,2.8,Paws_Up_New
912.0,906.0,971.0,938.0,942.0,2.4,9.4,2.9,Paws_Up_New
912.0,904.0,970.0,937.0,941.0,2.38,8.91,2.96,Paws_Up_New
911.0,905.0,969.0,937.0,941.0,2.94,9.2,3.14,Paws_Up_New
911.0,904.0,970.0,938.0,941.0,3.43,9.03,3.28,Paws_Up_New
910.0,904.0,969.0,937.0,941.0,1.98,9.54,2.7,Paws_Up_New
911.0,904.0,969.0,937.0,941.0,0.84,10.01,2.15,Paws_Up_New
911.0,904.0,969.0,937.0,941.0,2.05,9.46,2.82,Paws_Up_New
911.0,904.0,969.0,937.0,941.0,2.68,9.32,2.91,Paws_Up_New
911.0,904.0,969.0,937.0,941.0,2.6,9.36,2.93,Paws_Up_New
912.0,905.0,969.0,937.0,941.0,2.64,8.87,4.12,Paws_Up_New
911.0,905.0,969.0,937.0,941.0,3.02,8.98,3.8,Paws_Up_New
926.0,904.0,969.0,937.0,941.0,3.0,9.08,3.54,Paws_Up_New
923.0,903.0,969.0,938.0,941.0,2.94,9.09,3.55,Paws_Up_New
923.0,904.0,970.0,938.0,941.0,3.08,9.14,3.38,Paws_Up_New
921.0,903.0,969.0,937.0,941.0,3.23,9.07,3.44,Paws_Up_New
920.0,903.0,969.0,937.0,941.0,3.09,9.14,3.26,Paws_Up_New
920.0,903.0,968.0,937.0,941.0,3.32,9.07,3.31,Paws_Up_New
919.0,904.0,969.0,937.0,941.0,2.97,9.12,3.29,Paws_Up_New
918.0,903.0,969.0,937.0,941.0,2.86,9.22,3.05,Paws_Up_New
918.0,903.0,969.0,937.0,941.0,2.95,9.26,2.99,Paws_Up_New
917.0,903.0,968.0,938.0,940.0,2.85,9.25,3.01,Paws_Up_New
916.0,902.0,967.0,936.0,939.0,3.23,8.7,2.83,Paws_Up_New
914.0,902.0,968.0,936.0,938.0,3.29,9.2,2.87,Paws_Up_New
914.0,901.0,968.0,935.0,936.0,3.07,9.2,2.92,Paws_Up_New
913.0,901.0,964.0,928.0,926.0,3.04,9.25,2.89,Paws_Up_New
907.0,899.0,961.0,925.0,924.0,3.28,9.16,2.79,Paws_Up_New
903.0,894.0,961.0,925.0,922.0,3.21,9.26,2.59,Paws_Up_New
902.0,895.0,960.0,925.0,922.0,3.5,9.18,2.36,Paws_Up_New
903.0,894.0,960.0,924.0,922.0,2.94,9.24,2.63,Paws_Up_New
903.0,895.0,959.0,925.0,922.0,3.28,9.23,2.29,Paws_Up_New
903.0,894.0,960.0,924.0,922.0,3.54,9.13,2.39,Paws_Up_New
902.0,894.0,960.0,924.0,922.0,3.34,9.22,2.35,Paws_Up_New
902.0,894.0,960.0,924.0,922.0,3.11,9.27,2.35,Paws_Up_New
902.0,894.0,959.0,924.0,922.0,3.13,9.29,2.16,Paws_Up_New
902.0,894.0,960.0,924.0,922.0,2.99,9.33,2.07,Paws_Up_New
902.0,894.0,959.0,924.0,922.0,3.04,9.36,1.98,Paws_Up_New
902.0,894.0,959.0,924.0,922.0,3.24,9.32,2.0,Paws_Up_New
902.0,894.0,959.0,924.0,922.0,3.1,9.37,1.92,Paws_Up_New
902.0,894.0,959.0,924.0,922.0,3.0,9.33,2.03,Paws_Up_New
901.0,894.0,960.0,924.0,922.0,2.95,9.47,1.73,Paws_Up_New
901.0,894.0,959.0,924.0,923.0,3.24,9.27,2.12,Paws_Up_New
902.0,894.0,959.0,925.0,923.0,3.16,9.31,1.88,Paws_Up_New
