F1,F2,F3,F4,F5,X,Y,Z,Gesture
876.0,819.0,809.0,796.0,951.0,-2.62,8.17,4.44,Water_New
876.0,819.0,808.0,798.0,952.0,-3.46,8.43,4.69,Water_New
876.0,820.0,811.0,800.0,950.0,-2.6,8.62,4.51,Water_New
875.0,820.0,811.0,799.0,950.0,-2.24,8.58,4.61,Water_New
875.0,820.0,811.0,799.0,951.0,-3.02,8.45,4.83,Water_New
876.0,820.0,811.0,799.0,949.0,-3.15,8.26,5.0,Water_New
875.0,820.0,811.0,798.0,948.0,-2.9,8.5,4.81,Water_New
875.0,820.0,811.0,798.0,949.0,-3.26,8.25,5.01,Water_New
875.0,819.0,812.0,798.0,949.0,-3.32,8.35,4.82,Water_New
875.0,820.0,812.0,799.0,948.0,-3.16,8.2,5.01,Water_New
874.0,820.0,816.0,801.0,948.0,-3.04,8.27,4.99,Water_New
875.0,820.0,817.0,804.0,946.0,-3.16,8.28,5.02,Water_New
878.0,820.0,811.0,799.0,946.0,-3.08,8.34,5.0,Water_New
877.0,819.0,809.0,800.0,946.0,-3.0,8.4,4.9,Water_New
876.0,820.0,811.0,803.0,944.0,-2.88,8.45,4.92,Water_New
876.0,820.0,813.0,803.0,945.0,-3.4,8.22,5.34,Water_New
875.0,820.0,815.0,803.0,945.0,-3.27,8.09,5.3,Water_New
875.0,820.0,815.0,803.0,945.0,-2.75,8.38,4.96,Water_New
878.0,820.0,814.0,802.0,946.0,-3.03,8.4,4.94,Water_New
876.0,821.0,815.0,801.0,945.0,-3.09,8.36,5.03,Water_New
879.0,821.0,818.0,821.0,939.0,-2.9,7.83,5.18,Water_New
878.0,821.0,819.0,822.0,938.0,-3.08,8.22,5.26,Water_New
878.0,820.0,820.0,826.0,938.0,-2.94,8.24,5.2,Water_New
877.0,820.0,819.0,826.0,938.0,-3.05,8.19,5.28,Water_New
878.0,820.0,819.0,825.0,937.0,-3.06,8.16,5.33,Water_New
878.0,820.0,821.0,827.0,937.0,-2.97,8.19,5.31,Water_New
879.0,820.0,821.0,826.0,937.0,-2.99,8.16,5.37,Water_New
878.0,820.0,821.0,827.0,938.0,-3.01,8.14,5.3,Water_New
879.0,820.0,821.0,827.0,938.0,-2.93,8.24,5.32,Water_New
878.0,820.0,820.0,841.0,938.0,-3.03,8.25,5.25,Water_New
879.0,820.0,821.0,911.0,906.0,-2.79,7.92,5.69,Water_New
895.0,820.0,824.0,920.0,909.0,-2.81,8.16,5.49,Water_New
905.0,821.0,832.0,917.0,945.0,-2.27,8.31,5.68,Water_New
909.0,821.0,817.0,845.0,947.0,-1.99,8.65,4.97,Water_New
902.0,820.0,808.0,797.0,946.0,-2.0,8.65,5.07,Water_New
899.0,820.0,810.0,802.0,944.0,-2.01,8.56,5.31,Water_New
898.0,820.0,812.0,804.0,944.0,-2.23,8.58,5.22,Water_New
897.0,821.0,810.0,803.0,943.0,-2.13,8.46,5.27,Water_New
895.0,820.0,812.0,804.0,942.0,-2.0,8.62,5.12,Water_New
898.0,820.0,813.0,805.0,947.0,-1.91,8.7,5.1,Water_New
891.0,820.0,816.0,808.0,948.0,-2.39,8.26,4.51,Water_New
890.0,821.0,816.0,806.0,947.0,-2.55,8.64,4.65,Water_New
890.0,821.0,815.0,803.0,947.0,-2.46,8.67,4.65,Water_New
890.0,821.0,816.0,804.0,946.0,-2.47,8.63,4.63,Water_New
890.0,821.0,816.0,805.0,946.0,-2.48,8.71,4.66,Water_New
891.0,821.0,816.0,805.0,947.0,-2.45,8.72,4.7,Water_New
890.0,822.0,817.0,806.0,947.0,-2.7,8.74,4.66,Water_New
890.0,822.0,818.0,807.0,946.0,-2.44,8.57,4.76,Water_New
890.0,821.0,818.0,807.0,946.0,-2.42,8.62,4.75,Water_New
889.0,821.0,818.0,808.0,946.0,-2.38,8.8,4.63,Water_New
890.0,821.0,818.0,809.0,946.0,-2.42,8.68,4.71,Water_New
890.0,821.0,818.0,809.0,946.0,-2.31,8.81,4.59,Water_New
890.0,821.0,819.0,809.0,946.0,-2.31,8.71,4.73,Water_New
889.0,821.0,819.0,809.0,948.0,-2.33,8.74,4.62,Water_New
